,Classes,name,ingredients,ingredients_raw_str,servings,weights
77,pork_chop,Po Po,"['ground beef', 'salt', 'sate seasoning', 'rosemary', 'egg yolk', 'butter', 'parmesan cheese']","['1/2  lb    ground beef', '1/2  teaspoon    salt', '1/2  teaspoon   javanese sate seasoning (or a mixture of chili powder and dry mustard)', '1/2  teaspoon   chopped rosemary', '1       egg yolk', '  butter', ' grated parmesan cheese']",1,"[226.796, 2.46446, 2.46446, 2.46446, '', '', '']"
78,poutine,Poutine,"['french fries', 'gravy', 'cheese']","['  French fries', '  gravy', '  cheese (usually mozza)']",2,"[100, '', '']"
79,prime_rib,Prime Rib,"['standing rib roast', 'kosher salt', 'dry mustard', 'fresh rosemary leaves', 'fresh coarse ground black pepper']","['1 (10 -12   lb)   five bone standing rib roast, chine bone removed and tied back on  (10-12 lbs.)', '2   tablespoons    kosher salt', ""1 1/2  tablespoons    dry mustard, preferably Coleman's "", '1 1/2  tablespoons   chopped fresh rosemary leaves', '  fresh coarse ground black pepper, to taste ']",8,"[-907.184, 29.5736, 5, '', '']"
80,pulled_pork_sandwich,Pulled Pork Sandwiches,"['pork', 'reduced-sodium chicken broth', 'balsamic vinegar', 'light brown sugar', 'chili powder', 'paprika', 'ground cumin', 'salt', 'ground black pepper', 'kaiser rolls']","['12   ounces    pork, cooked and shredded ', '1   cup    reduced-sodium chicken broth', '2   tablespoons    balsamic vinegar', '2   tablespoons    light brown sugar', '1   tablespoon    chili powder', '1   teaspoon    paprika', '1   teaspoon    ground cumin', '1/2  teaspoon    salt', '1/4  teaspoon    ground black pepper', '4       kaiser rolls, halved ']",4,"[340.19399999999996, 236.588, 29.5736, 29.5736, 14.7868, 4.92892, 4.92892, 2.46446, 1.23223, '']"
81,ramen,Shrimp Soup With Ramen Noodles,"['medium shrimp', 'lemon juice', 'chili powder', 'cumin', 'pepper', 'water', 'shrimp flavor ramen noodle soup', 'salsa', 'black beans', 'frozen corn', 'fresh cilantro']","['1   lb   deveined medium shrimp', '1   tablespoon    lemon juice', '1/2  teaspoon    chili powder', '1/8  teaspoon    cumin', '1/8  teaspoon    pepper', '3   cups    water', '2 (3   ounce) packages   shrimp flavor ramen noodle soup', '16   ounces    salsa', '15   ounces    black beans, drained and rinsed ', '2   cups    frozen corn', '1/4  cup   chopped fresh cilantro']",10,"[453.592, 14.7868, 2.46446, 0.616115, 0.616115, 709.764, 200, 453.592, 425.2425, 473.176, 59.147]"
82,ravioli,Ravioli,"['flour', 'eggs', 'olive oil', 'salt', 'fat-free ricotta cheese', 'part-skim mozzarella cheese', 'eggs', 'lowfat parmesan cheese', 'parsley']","['3 3/4  cups    flour', '5       eggs', '3   tablespoons    olive oil', '1   pinch    salt', '2   cups    fat-free ricotta cheese', '1   cup    part-skim mozzarella cheese', '3       eggs', '1/2  cup    lowfat parmesan cheese', '1/4  cup    parsley']",4,"['', 275, 44.3604, '', 473.176, 236.588, 150, 118.294, 59.147]"
83,red_velvet_cake,Cake,"['flour', 'sugar', 'vanilla', 'eggs', 'milk', 'baking powder', 'shortening']","['2   cups    flour', '1   cup    sugar', '1   teaspoon    vanilla', '2       eggs', '2/3  cup    milk', '2   teaspoons    baking powder', '1   cup    shortening']",12,"[473.176, 236.588, 4.92892, 100, 157.7253333333333, 9.85784, 236.588]"
84,risotto,Risotto,"['water', 'vegetarian chicken soup mix', 'butter', 'onion', 'celery', 'risotto rice', 'dry white wine', 'parmesan cheese', 'frozen peas']","['5   cups    water', '2   tablespoons    vegetarian chicken soup mix', '2   tablespoons    butter', '1       onion, finely minced ', '1   stalk    celery, minced ', '1 1/2  cups    risotto rice', '1   cup    dry white wine', '2/3  cup    parmesan cheese, grated ', '1   cup    frozen peas']",4,"[1182.94, 29.5736, 29.5736, 10, 5, '', 236.588, 157.7253333333333, 236.588]"
85,samosa,Samosa,"['all-purpose flour', 'salt', 'baking soda', 'oil', 'potatoes', 'cumin seed', 'garam masala', 'coriander powder', 'red chili powder', 'oil', 'coriander leaves']","['', '  all-purpose flour', '1   pinch    salt', '  baking soda', '2   tablespoons    oil', '', '4   medium    potatoes', '1   tablespoon    cumin seed', '1   tablespoon    garam masala', '1   tablespoon    coriander powder', '  red chili powder, as per taste ', '2   tablespoons    oil', '  coriander leaves']",4,"['', '', 50, 29.5736, 200, 14.7868, 14.7868, 14.7868, '', 29.5736, '']"
86,sashimi,Sashimi Tuna,"['tuna steaks', 'low sodium soy sauce', 'chives', 'garlic', 'wasabi', 'rice vinegar', 'watercress', 'pickled ginger']","['12   ounces   ahi tuna steaks (sushi quality)', '1   cup    low sodium soy sauce', '1   cup   chopped chives', '1/2  teaspoon   chopped garlic', '1/3  cup    wasabi', '1   tablespoon    rice vinegar', '2   bunches    watercress', '2   cups    pickled ginger']",4,"[340.19399999999996, 236.588, 236.588, 2.46446, 78.86266666666666, 14.7868, 100, 473.176]"
87,scallops,Asian Scallop and Snap Pea Salad,"['scallops', 'toasted sesame oil', 'fresh ginger', 'fresh garlic', 'crushed red pepper flakes', 'soy sauce', 'sugar', 'oyster sauce', 'salt', 'sugar snap pea', 'carrot', 'sliced water chestnuts', 'sliced mushrooms', 'red bell pepper', 'sesame seeds']","['10      u - 10 scallops', '2   teaspoons    toasted sesame oil', '1   tablespoon   minced fresh ginger', '1   tablespoon   minced fresh garlic', '1/4  teaspoon    crushed red pepper flakes', '1   tablespoon    soy sauce', '1   tablespoon    sugar', '1   tablespoon    oyster sauce', '  salt', '1   lb    sugar snap pea, trimmed ', '1/2  cup    carrot, cut into matchsticks ', '1/2  cup   drained sliced water chestnuts', '1/2  cup    sliced mushrooms, slightly sauteed ', '1/2  cup   julienne cut red bell pepper', '2   teaspoons    sesame seeds, toasted ']",5,"[283.495, 9.85784, 14.7868, 14.7868, 1.23223, 14.7868, 14.7868, 14.7868, '', 453.592, 118.294, 118.294, 118.294, 118.294, 9.85784]"
88,seaweed_salad,Seaweed Salad,"['wakame seaweed', 'rice vinegar', 'soy sauce', 'sesame oil', 'sugar', 'red pepper flakes', 'ginger', 'garlic', 'scallions', 'carrot', 'fresh cilantro', 'sesame seeds']","['3/4  ounce   dried wakame seaweed (whole or cut)', '3   tablespoons    rice vinegar (not seasoned)', '3   tablespoons    soy sauce', '1   tablespoon    sesame oil', '1   teaspoon    sugar', '  red pepper flakes', '1   teaspoon   finely grated ginger', '1/2  teaspoon   minced garlic', '2       scallions, thinly sliced ', '1/4  cup   shredded carrot', '2   tablespoons   chopped fresh cilantro', '1   tablespoon    sesame seeds, toasted ']",4,"[21.262124999999997, 44.3604, 44.3604, 14.7868, 4.92892, '', 4.92892, 2.46446, 15, 59.147, 29.5736, 14.7868]"
89,shrimp_and_grits,Shrimp and Grits -- One of President Obama's Favorites,"['medium shrimp', 'lemon%2c juice of', 'hot pepper sauce', 'salt', 'grits', 'bacon', 'onion', 'green bell pepper', 'garlic clove', 'scallion', 'unbleached all-purpose flour', 'chicken stock', 'unsalted butter', 'sharp cheddar cheese', 'tabasco sauce']","['1 1/2  lbs    medium shrimp, peeled, halved lengthwise, and deveined if you wish ', '1       lemon, juice of', '  hot pepper sauce, to taste ', '1 1/2  teaspoons    salt (or more, to taste)', '1 1/2  cups   stone-ground grits (not instant or quick cooking)', '6   slices    bacon, thick slices, chopped ', '1   small    onion, finely chopped ', '1/4  cup   finely chopped green bell pepper', '1       garlic clove, minced ', '1/2  cup   thinly sliced scallion', '2   tablespoons    unbleached all-purpose flour', '1   cup    chicken stock', '2   tablespoons    unsalted butter', '1   cup   grated medium to sharp cheddar cheese', '  Tabasco sauce or  other hot pepper sauce']",4,"['', '', '', '', 120, 50, 10, 59.147, 5, 118.294, 29.5736, 236.588, 29.5736, 236.588, '']"
90,spaghetti_bolognese,Spaghetti Bolognese,"['linguine', 'meatloaf mixture', 'fresh parsley', 'red wine', 'fresh garlic', 'sea salt', 'black pepper', 'basil', 'light olive oil', 'onion', 'carrots', 'tomato sauce']","['1   lb    linguine', '2   lbs    meatloaf mixture (veal, pork, beef)', '1   cup   chopped fresh parsley', '1   cup    red wine', '1/4  cup    fresh garlic, diced ', '1   tablespoon    sea salt', '1   teaspoon    black pepper', '1/4  cup    basil', '1/4  cup    light olive oil', '1      whole onion, diced ', '2   large    carrots, diced ', '4   cups    tomato sauce']",3,"[453.592, 907, 236.588, 236.588, 59.147, 14.7868, 4.92892, 59.147, 59.147, 50, 70, 946.352]"
91,spaghetti_carbonara,Spaghetti Carbonara,"['prosciutto ham', 'half-and-half', 'parmesan cheese', 'egg yolks', 'black pepper', 'oregano']","['6 -12   ounces    prosciutto ham', '3   pints    half-and-half', '6   ounces   grated parmesan cheese', '12      hard boiled egg yolks', '2   teaspoons    black pepper', '2   teaspoons    oregano']",4,"[-170, 1419.528, 170.09699999999998, 180, 9.85784, 9.85784]"
92,spring_rolls,Spring Rolls,"['peanut oil', 'broccoli', 'green onions', 'red pepper', 'salt and pepper', 'sesame oil', 'soy sauce', 'rice noodles', 'basil', 'rice paper']","['2   teaspoons    peanut oil', '2   cups    broccoli, slaw  (julienned carrots and broccoli) or 2   cups   about 2 carrots and 1 broccoli stems, shredded ', '2      sliced green onions', '1/2      red pepper, thinly sliced ', '  salt and pepper (to taste)', '1   teaspoon    sesame oil', '1   tablespoon    soy sauce', '1/2  lb    rice noodles, softened in hot water  (covered)', ' handful basil', '10       rice paper, rounds softened in hot water for a few seconds ']",6,"[9.85784, 473.176, 10, 50, '', 4.92892, 14.7868, 226.796, 30, '']"
93,steak,Steak Au Poivre,"['unsalted beef stock', 'onion', 'carrot', 'bay leaf', 'thyme', 'whole black peppercorn', 'black peppercorns', 'green peppercorn', 'new york strip steaks', 'vegetable oil', 'unsalted butter', 'shallots', 'cognac', 'dry white wine', 'parsley']","['4   cups    unsalted beef stock', '1   small    onion, chopped ', '1   small    carrot, chopped ', '1       bay leaf', '1   sprig    thyme', '1   teaspoon    whole black peppercorn', '1   tablespoon   coarsely crushed black peppercorns', '1   tablespoon   coarsely crushed green peppercorn', '4 (8 -10   ounce)    New York strip steaks, cut 1 inch thick, trimmed of excess fat  (8-10 oz. each)', '1   tablespoon    vegetable oil', '4   tablespoons    unsalted butter, cut into 4 pieces ', '2   tablespoons   very finely minced shallots', '4   tablespoons    cognac or 4   tablespoons    brandy', '1/2  cup    dry white wine', '2   teaspoons   finely chopped parsley']",4,"[946.352, 15, 10, 1, 1, 4.92892, 14.7868, 14.7868, -226.796, 14.7868, 59.1472, 29.5736, 59.1472, 118.294, 9.85784]"
94,strawberry_shortcake,Strawberry Shortcake,"['angel food cake', 'cream cheese', 'sugar', 'cool whip', 'vanilla extract', 'strawberry', 'sugar']","['1   lb    angel food cake', '1 (8   ounce) package   cream cheese (soft)', '3/4  cup    sugar', '1 (8   ounce) container   Cool Whip', '1   teaspoon    vanilla extract', '1   lb    strawberry', '1/2  cup    sugar']",10,"[453.592, 225, 177.441, 226, 4.92892, 453.592, 118.294]"
95,sushi,Sushi,"['fresh tuna', 'cooked sushi rice']","['1   ounce   raw fresh tuna', '1   ounce    cooked sushi rice']",1,"[28.3495, 28.3495]"
96,tacos,Tacos,"['ground beef', 'kidney beans', 'lettuce', 'tomatoes', 'cheese', 'avocado', 'oil', 'corn tortilla', 'sour cream', 'taco sauce']","['1   lb    ground beef', '1 (8   ounce) can   kidney beans', '  lettuce, shredded ', '  tomatoes, diced ', '  cheese, shredded ', '  avocado, diced ', '  oil', '  corn tortilla', '  sour cream', '  taco sauce']",4,"[453.592, '', 30, 50, '', 100, '', 30, '', '']"
97,takoyaki,Takoyaki (&quot;octopus Balls&quot;),"['flour', 'egg', 'water', 'octopus', 'cabbage', 'green onions', 'fish scraps', 'takoyaki sauce', 'ao nori', 'bonito flakes', 'mayonnaise']","['', '100   g    flour', '1       egg', '350   ml    water', '', '100   g   boiled octopus (cut into 1cm square)', '50   g    cabbage (chopped)', '10   g    green onions (scallions chopped)', '20   g    fish scraps (tenkasu)', '  yakisoba sauce or   okonomiyaki sauce', '  ao nori (seaweed)', ' dried bonito flakes', '  mayonnaise']",50,"[100, 50, 350, 100, 50, 10, 20, '', '', '', '']"
98,tiramisu,Tiramisu,"['espresso coffee', 'tia maria', 'eggs', 'caster sugar', 'mascarpone cheese', 'cream', 'ladyfingers', 'cocoa powder']","['2 -3   cups   strong plunger espresso coffee, cooled to room temp ', '3   tablespoons    Tia Maria (or another liqueur, but the coffee flavour is really enhanced)', '2       eggs, separated ', '1/4  cup    caster sugar', '250   g    mascarpone cheese', '1   cup    cream (anything that will hold the peaks heavy whipping cream works fine as will anything 36% milkfat or hi)', '250   g    ladyfingers (savoiardi)', '  cocoa powder, for dusting ']",6,"[200, 44.3604, 100, 59.147, 250, 236.588, 250, '']"
99,tuna_tartare,Tuna Tartare,"['wonton wrappers', 'olive oil', 'sesame seeds', 'tuna', 'green onions', 'sesame seeds', 'soy sauce', 'sesame oil', 'fresh ginger', 'garlic clove', 'orange zest', 'cilantro', 'kosher salt', 'avocado', 'lime juice', 'fresh cilantro stem']","['', '12       wonton wrappers (can substitute egg roll wrappers)', '2   tablespoons    olive oil', '3   tablespoons    sesame seeds', '', '6   ounces   sushi-grade tuna, cut into 1/4-inch dice ', '2   tablespoons    green onions, green parts only, finely chopped ', '2   tablespoons    sesame seeds, toasted ', '2   tablespoons    soy sauce', '1   teaspoon    sesame oil', '1   teaspoon   peeled and grated fresh ginger', '1       garlic clove, minced ', '3/4  teaspoon    orange zest', '2   tablespoons    cilantro, finely chopped ', '1/2  teaspoon    kosher salt', '1       avocado, cut into 1/4-inch dice ', '2   teaspoons    lime juice', '  fresh cilantro stem (to garnish)']",24,"[225, 29.5736, 44.3604, 170.09699999999998, 29.5736, 29.5736, 29.5736, 4.92892, 4.92892, 5, 3.69669, 29.5736, 2.46446, 100, 9.85784, '']"
100,waffles,Waffles,"['vanilla sugar', 'egg', 'salt', 'milk', 'sugar', 'flour']","['10   g    vanilla sugar', '1       egg', '1   pinch    salt', '133   ml    milk', '80   g    sugar', '166   g    flour']",4,"[10, 50, '', 133, 80, 166]"
