,Classes,name,ingredients,ingredients_raw_str,servings,weights
47,gnocchi,Gnocchi,"['mashed potatoes', 'flour', 'olive oil', 'salt', 'pepper', 'italian seasoning', 'garlic powder', 'onion salt']","['2   cups    mashed potatoes (cold)', '1 -1 1/2  cup    flour', '1   tablespoon    olive oil', '1   teaspoon    salt', '1   teaspoon    pepper', '1   teaspoon    italian seasoning', '1   teaspoon    garlic powder', '1   teaspoon    onion salt']",4,"[473.176, 200, 14.7868, 4.92892, 4.92892, 4.92892, 4.92892, 4.92892]"
48,greek_salad,Greek Salad,"['lettuce', 'red onion', 'tomatoes', 'cucumber', 'black olives', 'green pepper', 'feta cheese', 'salt', 'pepper', 'herbs', 'oregano', 'olive oil', 'lemon juice', 'garlic cloves', 'salt', 'parsley', 'dried chives', 'tarragon']","['1/2  head    lettuce, torn ', '1       red onion, sliced into rings ', '2       tomatoes, wedged ', '1/2  cup    cucumber, sliced ', '1/2  cup    black olives', '1       green pepper, cut into rings ', '1   cup   crumbled feta cheese', '1/4  teaspoon    salt', '1/8  teaspoon    pepper', '1/3  cup    herbs, and garlic dressing ', '1   dash    oregano', '1/2  cup    olive oil', '2   tablespoons    lemon juice', '1       garlic cloves, minced  or 1/2  teaspoon    garlic powder', '1/4  teaspoon    salt', '1/4  teaspoon    parsley', '1/4  teaspoon    dried chives', '1/4  teaspoon    tarragon or 1/4  teaspoon    oregano']",6,"['', 50, 50, 118.294, 118.294, 100, 236.588, 1.23223, 0.616115, 78.86266666666666, '', 118.294, 29.5736, 2, 1.23223, 1.23223, 1.23223, 1.23223]"
49,grilled_cheese_sandwich,Grilled Cheese Sandwich,"['white bread', 'american cheese', 'cheddar cheese', 'cream cheese', 'butter']","['2   slices    white bread', '1   slice    American cheese', '1   slice    cheddar cheese', '  cream cheese, light is okay ', '  butter']",1,"[60, 20, 20, '', '']"
50,grilled_salmon,Grilled Salmon,"['vegetable oil', 'soy sauce', 'worcestershire sauce', 'lemon juice', 'ginger', 'honey', 'dried basil', 'salmon fillets']","['1   tablespoon    vegetable oil', '1   tablespoon    soy sauce', '1   teaspoon    Worcestershire sauce', '1   tablespoon    lemon juice', '1/2  teaspoon    ginger', '2   tablespoons    honey', '2   tablespoons    dried basil', '6       salmon fillets']",6,"[14.7868, 14.7868, 4.92892, 14.7868, 2.46446, 29.5736, 29.5736, '']"
51,guacamole,Guacamole,"['avocados', 'lime juice', 'tomatoes', 'red onion', 'cilantro', 'kosher salt', 'garlic']","['2       avocados', '1   teaspoon    lime juice', '1/2  cup    tomatoes', '1/3  cup    red onion, chopped ', '2   tablespoons    cilantro, chopped ', '1   teaspoon    kosher salt', '1   teaspoon   minced garlic']",5,"[200, 4.92892, 118.294, 78.86266666666666, 29.5736, 4.92892, 4.92892]"
52,gyoza,Gyoza,"['cabbage', 'ground pork', 'japanese soy sauce', 'sesame oil', 'mirin', 'green onion', 'ginger', 'mushroom', 'peanut oil', 'hot water', 'gyoza skins', 'japanese soy sauce', 'rice wine vinegar', 'sesame oil']","['5   ounces    cabbage, chopped ', '6   ounces    ground pork or 6   ounces    ground beef (or combination of both)', '2   tablespoons    Japanese soy sauce', '1   tablespoon    sesame oil', '1   teaspoon    mirin (Japanese rice wine) or 1   teaspoon    sherry wine', '1       green onion, minced ', '1   teaspoon   grated ginger', '1      dried black mushroom, soaked in 2 tb water ', '2 -3   tablespoons    peanut oil', '1/4  cup    hot water', '1   package    gyoza skins or 1   package    wonton wrapper', '', '1/4  cup    Japanese soy sauce', '1   teaspoon    rice wine vinegar', '1   dash    sesame oil']",6,"[141.7475, 170.09699999999998, 29.5736, 14.7868, 4.92892, 5, 4.92892, 5, 30, 59.147, '', 59.147, 4.92892, '']"
53,hamburger,Hamburger,"['ground beef', 'worcestershire sauce', 'quick oats', 'sea salt', 'fresh ground black pepper', 'vermont sharp cheddar cheese', 'kaiser rolls', 'tomatoes', 'onion', 'pickles', 'stone ground mustard']","['18   ounces   fresh black angus ground beef', '1   tablespoon    Worcestershire sauce', '3   ounces    quick oats, crumbled in hand ', '  sea salt', '  fresh ground black pepper', '3   slices   aged Vermont sharp cheddar cheese', '3       kaiser rolls, sliced ', '1       tomatoes, sliced ', '1       onion, texas sweet sliced ', '6   slices   clausen pickles', '  stone ground mustard']",3,"[510.291, 14.7868, 85.04849999999999, '', '', 45, 150, 50, 50, '', '']"
54,hot_and_sour_soup,Easy Hot and Sour Soup,"['dried chinese mushrooms', 'chicken', 'firm tofu', 'bamboo shoots', 'chicken stock', 'rice wine', 'light soy sauce', 'rice vinegar', 'white pepper', 'cornstarch', 'salt', 'hot pepper sauce']","['4 -6       dried Chinese mushrooms, soaked ', '4   ounces    chicken', '1   package    firm tofu', '2   ounces   sliced bamboo shoots, drained ', '2 1/2  cups    chicken stock', '1   tablespoon    rice wine or 1   tablespoon    sherry wine', '1   tablespoon    light soy sauce', '1   tablespoon    rice vinegar', '1/2  teaspoon    white pepper', '1   tablespoon    cornstarch, mixed with water ', '  salt (to taste)', '  hot pepper sauce (to taste)']",4,"[60, 113.398, 200, 56.699, '', 14.7868, 14.7868, 14.7868, 2.46446, 14.7868, '', '']"
55,hot_dog,Hotdogs,"['hot dogs', 'hot dog buns', 'tomatoes', 'white onion', 'jalapenos', 'mustard', 'mayonnaise', 'ketchup', 'bacon', 'butter']","['8       hot dogs (wienies)', '8       hot dog buns', '2       tomatoes, diced ', '1/2      white onion, diced ', '1 (5   ounce) can   jalapenos, diced ', '  mustard', '  mayonnaise', '  ketchup', '8   slices    bacon, one per wienie ', '  butter, for the buns  (you can use the grease from the bacon)']",8,"['', 500, 100, 50, 145, '', '', '', '', '']"
56,huevos_rancheros,Huevos Rancheros,"['dried chipotle chile', 'jalapeno pepper', 'tomatillo', 'tomatoes', 'vegetable oil', 'dried oregano', 'dried marjoram', 'lime juice', 'salt and pepper', 'cilantro', 'corn tortillas', 'monterey jack cheese', 'eggs', 'onion', 'parmesan cheese', 'cilantro']","['', '1       dried chipotle chile (or 1 canned)', '1       jalapeno pepper, stemmed and seeded ', '1   lb    tomatillo, husked  (about 6)', '2   medium    tomatoes, stemmed ', '1   teaspoon    vegetable oil', '1   teaspoon    dried oregano', '1   teaspoon    dried marjoram', '1   tablespoon    lime juice', '  salt and pepper, to taste ', '2   tablespoons    cilantro', '', '8       corn tortillas (6 inches)', '1/2  lb    monterey jack cheese, shredded ', '8       eggs', '1/2  cup    onion, white, finely diced ', '3   tablespoons    parmesan cheese, grated ', '4   tablespoons    cilantro, chopped ']",4,"['', 15, 453.592, 100, 4.92892, 4.92892, 4.92892, 14.7868, '', 29.5736, 240, 226.796, 400, 118.294, 44.3604, 59.1472]"
