,ing_name,serving_size,vitamin_a,vitamin_d,vitamin_e,vitamin_c,thiamin,riboflavin,niacin,vitamin_b6,vitamin_b12,folic_acid,calcium,irom,protein,zink
1814,meatloaf mixture,100 g,410.00 IU,72.00 IU,0.84 mg,0.0 mg,0.010 mg,0.300 mg,0.090 mg,0.010 mg,0.17 mcg,0.00 mcg,17.00 mg,0.23 mg,13.10 g,0.14 mg
151,basil,100 g,744.00 IU,0.00 IU,10.70 mg,0.8 mg,0.080 mg,1.200 mg,4.900 mg,1.340 mg,0.00 mcg,0.00 mcg,2240.00 mg,89.80 mg,22.98 g,7.10 mg
653,light olive oil,100 g,0.00 IU,0,15.94 mg,0.0 mg,0.000 mg,0.000 mg,0.000 mg,0.000 mg,0.00 mcg,0.00 mcg,0.00 mg,0.01 mg,0.00 g,0.00 mg
99,prosciutto ham,100 g,304.00 IU,0,0,0.0 mg,0.318 mg,0.220 mg,2.153 mg,0.130 mg,0.73 mcg,0.00 mcg,217.00 mg,0.76 mg,16.18 g,2.25 mg
33,broccoli,100 g,1720.00 IU,0.00 IU,0.50 mg,29.6 mg,0.100 mg,0.153 mg,0.459 mg,0.074 mg,0.00 mcg,0.00 mcg,105.00 mg,0.59 mg,1.20 g,0.41 mg
95,red pepper,100 g,24.00 IU,0,0.12 mg,5.2 mg,0.012 mg,0.028 mg,0.162 mg,0.039 mg,0,0,11.00 mg,0.19 mg,0.33 g,0.13 mg
159,rice paper,100 g,0.00 IU,0.00 IU,0.03 mg,0.0 mg,0.018 mg,0.004 mg,0.072 mg,0.006 mg,0.00 mcg,0.00 mcg,4.00 mg,0.14 mg,1.79 g,0.25 mg
698,unsalted beef stock,100 g,0.00 IU,41.00 IU,0.22 mg,0.0 mg,0.367 mg,0.357 mg,6.053 mg,0.459 mg,1.52 mcg,0.00 mcg,15.00 mg,1.56 mg,21.85 g,2.93 mg
418,bay leaf,100 g,6185.00 IU,0.00 IU,0,46.5 mg,0.009 mg,0.421 mg,2.005 mg,1.740 mg,0.00 mcg,0.00 mcg,834.00 mg,43.00 mg,7.61 g,3.70 mg
142,thyme,100 g,3800.00 IU,0.00 IU,7.48 mg,50.0 mg,0.513 mg,0.399 mg,4.940 mg,0.550 mg,0.00 mcg,0.00 mcg,1890.00 mg,123.60 mg,9.11 g,6.18 mg
1441,whole black peppercorn,100 g,2.00 IU,0.00 IU,0.25 mg,0.0 mg,0.263 mg,0.179 mg,2.105 mg,0.056 mg,0.00 mcg,49.00 mcg,140.00 mg,2.53 mg,7.02 g,0.97 mg
709,green peppercorn,100 g,126.00 IU,0.00 IU,0,34.2 mg,0.010 mg,0.030 mg,0.627 mg,0.120 mg,0.00 mcg,0.00 mcg,36.00 mg,1.33 mg,0.72 g,0.09 mg
2080,new york strip steaks,100 g,25.00 IU,11.00 IU,0.20 mg,0.0 mg,0.058 mg,0.072 mg,3.955 mg,0.367 mg,1.65 mcg,0,4.00 mg,2.27 mg,22.16 g,2.93 mg
835,angel food cake,100 g,13.00 IU,0,0,0.0 mg,0.172 mg,0.211 mg,1.569 mg,0.026 mg,0.11 mcg,71.00 mcg,155.00 mg,1.31 mg,4.70 g,0.33 mg
5137,cool whip,100 g,69.00 IU,0,0,0.0 mg,0,0,0,0,0,0,6.00 mg,0.12 mg,0.20 g,0
175,strawberry,100 g,18.00 IU,0.00 IU,0.10 mg,13.7 mg,0.011 mg,0.024 mg,0.161 mg,0.012 mg,0.00 mcg,0.00 mcg,6.00 mg,0.28 mg,0.20 g,0.06 mg
68,fresh tuna,100 g,1442.00 IU,218.00 IU,2.58 mg,0.0 mg,0.176 mg,0.528 mg,0.024 mg,0.350 mg,1.95 mcg,0.00 mcg,129.00 mg,2.73 mg,15.86 g,2.30 mg
689,cooked sushi rice,100 g,538.00 IU,82.00 IU,1.04 mg,0.0 mg,0.032 mg,0.387 mg,0.063 mg,0.144 mg,0.71 mcg,0.00 mcg,56.00 mg,1.75 mg,12.51 g,1.29 mg
2324,kidney beans,100 g,0.00 IU,0.00 IU,0.00 mg,0.0 mg,0.100 mg,0.090 mg,0.390 mg,0.030 mg,0.02 mcg,0.00 mcg,13.00 mg,1.96 mg,1.80 g,0.49 mg
607,avocado,100 g,0.00 IU,0,0,0.0 mg,0.000 mg,0.000 mg,0.000 mg,0.000 mg,0.00 mcg,0.00 mcg,0.00 mg,0.00 mg,0.00 g,0.00 mg
192,corn tortilla,100 g,0.00 IU,0.00 IU,14.84 mg,0.0 mg,0.000 mg,0.000 mg,0.000 mg,0.000 mg,0.00 mcg,0.00 mcg,0.00 mg,0.00 mg,0.00 g,0.00 mg
1265,octopus,100 g,0.00 IU,0,0,0.0 mg,0.030 mg,0.040 mg,2.000 mg,0,0,0,35.00 mg,4.90 mg,12.30 g,1.43 mg
44,fish scraps,100 g,100.00 IU,0,0,0.0 mg,0.010 mg,0.040 mg,1.500 mg,0.300 mg,2.00 mcg,0.00 mcg,21.00 mg,0.46 mg,20.21 g,0.39 mg
25,takoyaki sauce,100 g,0,0,0,0,0,0,0,0,0,0,0,0,0.00 g,0
194,bonito flakes,100 g,1962.00 IU,0.00 IU,5.55 mg,86.5 mg,0.440 mg,0.500 mg,4.640 mg,0.460 mg,0.00 mcg,0.00 mcg,587.00 mg,7.83 mg,11.30 g,2.77 mg
2692,espresso coffee,100 g,0.00 IU,0,0.00 mg,0.0 mg,0.000 mg,0.003 mg,0.218 mg,0.000 mg,0.00 mcg,0.00 mcg,4.00 mg,0.05 mg,0.09 g,0.01 mg
3550,tia maria,100 g,617.00 IU,0.00 IU,2.40 mg,2.0 mg,0.024 mg,0.061 mg,3.917 mg,0.173 mg,0.00 mcg,0.00 mcg,26.00 mg,0.73 mg,1.39 g,0.20 mg
176,caster sugar,100 g,0,0,0,0,0.420 mg,0.280 mg,3.700 mg,0,0,0,0,3.20 mg,7.30 g,0
693,mascarpone cheese,100 g,220.00 IU,22.00 IU,0.26 mg,0.0 mg,0.020 mg,0.209 mg,0.032 mg,0.047 mg,1.38 mcg,0.00 mcg,680.00 mg,0.47 mg,21.44 g,2.94 mg
24,cream,100 g,552.00 IU,11.00 IU,0.27 mg,0.0 mg,0.040 mg,0.185 mg,0.125 mg,0.045 mg,0.92 mcg,0.00 mcg,148.00 mg,0.17 mg,7.85 g,0.57 mg
3610,ladyfingers,100 g,50.00 IU,22.00 IU,0.63 mg,3.7 mg,0.284 mg,0.428 mg,2.104 mg,0.122 mg,0.75 mcg,23.00 mcg,47.00 mg,3.58 mg,10.60 g,1.14 mg
66,cocoa powder,100 g,0.00 IU,0.00 IU,0.67 mg,1.2 mg,0.435 mg,0.141 mg,0.796 mg,1.654 mg,0.00 mcg,0.00 mcg,79.00 mg,5.65 mg,16.55 g,2.99 mg
2791,wonton wrappers,100 g,14.00 IU,0,0,0.0 mg,0.519 mg,0.378 mg,5.424 mg,0.030 mg,0.02 mcg,69.00 mcg,47.00 mg,3.36 mg,9.80 g,0.71 mg
423,tuna,100 g,97.00 IU,0,0,2.2 mg,0.031 mg,0.070 mg,6.700 mg,0.081 mg,1.20 mcg,0.00 mcg,17.00 mg,1.00 mg,16.04 g,0.56 mg
54,orange zest,100 g,1496.00 IU,0.00 IU,0,16.0 mg,0.046 mg,0.034 mg,0.593 mg,0.060 mg,0.00 mcg,0.00 mcg,5.00 mg,0.47 mg,1.16 g,0.14 mg
572,fresh cilantro stem,100 g,4751.00 IU,0.00 IU,0,160.1 mg,0.048 mg,0.471 mg,1.824 mg,0.348 mg,0.00 mcg,0.00 mcg,405.00 mg,17.45 mg,5.56 g,1.81 mg
908,vanilla sugar,100 g,0,0,0,0,0.300 mg,0.200 mg,2.200 mg,0,0,0,0,1.80 mg,3.90 g,0
